archetype_id,archetype_zh,paper_id,title,year,venue,topic_label,citation_count,impact_breadth_score,citing_field_count,recognition_lag,observed_citations_2012_2026,peak_year,peak_year_citations,peak_share,recent_2022_2026_share,early_2012_2016_share,active_years_observed,recent_slope_2020_2026,rule_summary,safe_wording_boundary,source_url,paper_url,doi
early-peak-sedimentation,早期峰值后沉淀,sigcomm_1974_5f7a35f6,Research Areas in Computer Communication,1974,SIGCOMM,Data Mining / Web,9.0,31.62,34.0,32.0,1.0,2013,1.0,1.0,0.0,1.0,1,0,observed peak occurs before 2018 and recent-window share is below 30%,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/1015660.1015661,https://doi.org/10.1145/1015660.1015661
late-current-resurgence,近期仍在上升 / 后段增强,sigmod_1996_2e57c7b7,BIRCH: An Efficient Data Clustering Method for Very Large Databases,1996,SIGMOD,Data Mining / Web,3781.0,66.88,79.0,10.0,3373.0,2025,585.0,0.173,0.609,0.108,15,11.79,observed peak is in 2022–2026 and recent-window share is high,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/342009.335388,https://doi.org/10.1145/342009.335388
late-current-resurgence,近期仍在上升 / 后段增强,sigmod_1992_e01056d7,Extensible/Rule Based Query Rewrite Optimization in Starburst,1992,SIGMOD,Database / Systems,313.0,51.0,66.0,10.0,87.0,2026,31.0,0.356,0.494,0.195,15,2.57,observed peak is in 2022–2026 and recent-window share is high,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/130283.130294,https://doi.org/10.1145/130283.130294
deep-and-broad-diffusion,高深度 + 高广度扩散,kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,1996,KDD,Computer Vision,19133.0,81.12,78.0,18.0,16564.0,2021,2101.0,0.127,0.268,0.244,14,-264.69,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.121.9220,
deep-and-broad-diffusion,高深度 + 高广度扩散,iccv_1987_56f24279,Snakes: Active Contour Models,1987,ICCV,Computer Vision,17009.0,68.5,77.0,26.0,7359.0,2013,869.0,0.118,0.167,0.496,15,-60.04,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1007/bf00133570,https://doi.org/10.1007/bf00133570
deep-and-broad-diffusion,高深度 + 高广度扩散,vldb_2000_1f64865f,Database replication: a tale of research across communities,2000,VLDB,Computer Vision,13125.0,81.12,73.0,10.0,8168.0,2013,773.0,0.095,0.192,0.449,15,-60.29,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/331499.331504,https://doi.org/10.1145/331499.331504
deep-and-broad-diffusion,高深度 + 高广度扩散,iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,1999,ICCV,Computer Vision,16147.0,65.88,67.0,12.0,12825.0,2016,1099.0,0.086,0.206,0.392,15,-136.18,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1109/iccv.1999.790410,https://doi.org/10.1109/iccv.1999.790410
deep-and-broad-diffusion,高深度 + 高广度扩散,sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,1993,SIGMOD,Database / Systems,14771.0,66.75,73.0,10.0,7684.0,2012,870.0,0.113,0.129,0.504,15,-71.29,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/170035.170072,https://doi.org/10.1145/170035.170072
breadth-over-depth,广度高于引用深度,acm_sensys_2006_a4e2d6fd,CarTel: A Distributed Mobile Sensor Computing System,2006,ACM SenSys,Reinforcement Learning,225.0,77.0,83.0,12.0,225.0,2019,30.0,0.133,0.182,0.298,14,-3.51,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1109/infcomw.2011.5928901,https://doi.org/10.1109/infcomw.2011.5928901
breadth-over-depth,广度高于引用深度,sigcomm_1987_b342b594,Improving Round-Trip Time Estimates in Reliable Transport Protocols,1987,SIGCOMM,Database / Systems,194.0,66.38,51.0,19.0,64.0,2014,7.0,0.109,0.281,0.312,15,-0.54,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/55483.55484,https://doi.org/10.1145/55483.55484
breadth-over-depth,广度高于引用深度,sigmod_1989_463af2b8,"F-Logic: A Higher-Order Language for Reasoning About Objects, Inheritance, and Scheme",1989,SIGMOD,Computer Vision,359.0,67.62,58.0,10.0,56.0,2015,7.0,0.125,0.232,0.446,15,-0.46,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/66926.66939,https://doi.org/10.1145/66926.66939
breadth-over-depth,广度高于引用深度,sigir_1988_31fae25c,Information Retrieval using a Singular Value Decomposition Model of Latent Semantic Structure,1988,SIGIR,Database / Systems,257.0,66.25,77.0,26.0,135.0,2024,21.0,0.156,0.222,0.385,14,0.86,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/62437.62487,https://doi.org/10.1145/62437.62487
breadth-over-depth,广度高于引用深度,iccv_1993_f8f5c041,A framework for the robust estimation of optical flow,1993,ICCV,Computer Vision,449.0,58.12,77.0,20.0,162.0,2024,17.0,0.105,0.302,0.389,15,-0.86,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1109/iccv.1993.378214,https://doi.org/10.1109/iccv.1993.378214
