venue_area,topic_label,paper_count,venue_count,venues,publication_year_span,avg_recognition_lag,avg_citation_count,avg_impact_breadth_score,source_url_coverage,openalex_coverage,representative_papers,report_use,safe_wording_boundary
Systems/Networking,Database / Systems,5,1,NSDI,2005-2008,10.0,858.0,59.7,5/5,5/5,Live Migration of Virtual Machines (NSDI 2005); Remus: High Availability via Asynchronous Virtual Machine Replication (NSDI 2008); X-Trace: A Pervasive Network Tracing Framework (NSDI 2007),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
AI,Computer Vision,4,1,AAAI,1982-1999,18.5,690.0,59.8,4/4,4/4,Monte Carlo Localization: Efficient Position Estimation for Mobile Robots (AAAI 1999); Pengi: An Implementation of a Theory of Activity (AAAI 1987); Reverend Bayes on Inference Engines: A Distributed Hierarchical Approach (AAAI 1982),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Database,Computer Vision,4,2,SIGMOD; VLDB,1989-2005,10.0,4080.8,69.5,4/4,4/4,Database replication: a tale of research across communities (VLDB 2000); A Quantitative Analysis and Performance Study for Similarity-Search Methods in High-Dimensional Spaces (VLDB 1998); Robust and Fast Similarity Search for Moving Object Trajectories (SIGMOD 2005),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Database / Systems,4,1,SIGIR,1988-2003,17.0,561.0,42.5,4/4,3/4,Relevance based Language Models (SIGIR 2001); IR Evaluation Methods for Retrieving Highly Relevant Documents (SIGIR 2000); Information Retrieval using a Singular Value Decomposition Model of Latent Semantic Structure (SIGIR 1988),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Computer Vision,4,2,CCR; SIGCOMM,1988-2005,13.5,475.0,47.5,4/4,4/4,A Control-Theoretic Approach to Flow Control (SIGCOMM 1991); A clean slate 4D approach to network control and management. (CCR 2005); Towards an Active Network Architecture (CCR 1996),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Programming Languages,Machine Learning Theory,4,1,OOPSLA,1997-2002,10.0,251.5,51.7,4/4,4/4,Call Graph Construction in Object-Oriented Languages (OOPSLA 1997); Implementing Jalapeño in Java (OOPSLA 1999); Adaptive Optimization in the Jalapeño JVM (OOPSLA 2000),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Systems,Database / Systems,4,1,FAST,2002-2004,13.0,320.8,50.5,4/4,4/4,Venti: A New Approach to Archival Storage (FAST 2002); Hippodrome: Running Circles Around Storage Administration (FAST 2002); Designing for Disasters (FAST 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
AI,Data Mining / Web,3,1,AAAI,1988-2000,18.7,713.0,60.0,3/3,3/3,PROMPT: Algorithm and Tool for Automated Ontology Merging and Alignment (AAAI 2000); A Filtering Algorithm for Constraints of Difference in CSPs (AAAI 1994); Bayesian Classification (AAAI 1988),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
AI,Machine Learning Theory,3,1,AAAI,1990-1992,18.3,663.0,49.8,3/3,3/3,A New Method for Solving Hard Satisfiability Problems (AAAI 1992); Systematic Nonlinear Planning (AAAI 1992); Solving Large-Scale Constraint Satisfaction and Scheduling Problems Using a Heuristic Repair Method (AAAI 1990),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
AI,Natural Language Processing,3,1,AAAI,1984-1997,18.7,557.0,56.9,3/3,3/3,Syskill & Webert: Identifying Interesting Web Sites (AAAI 1996); Statistical Parsing with a Context-Free Grammar and Word Statistics (AAAI 1997); A Logic of Implicit and Explicit Belief (AAAI 1984),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
DM/Web,Computer Vision,3,2,ICDM; KDD,1996-2006,12.0,6986.0,71.0,3/3,3/3,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise (KDD 1996); Fast Random Walk with Restart and Its Applications (ICDM 2006); On the Privacy Preserving Properties of Random Data Perturbation Techniques (ICDM 2003),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Real-Time / Embedded Systems,3,1,SIGCOMM,1989-1998,13.0,946.3,52.7,3/3,3/3,Analysis and Simulation of a Fair Queueing Algorithm (SIGCOMM 1989); On the Self-Similar Nature of Ethernet Traffic (SIGCOMM 1993); Modeling TCP Throughput: A Simple Model and Its Empirical Validation (SIGCOMM 1998),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Reinforcement Learning,3,1,SIGCOMM,1996-1999,10.7,311.7,50.8,3/3,3/3,An analysis of BGP convergence properties (SIGCOMM 1999); Internet Routing Instability (SIGCOMM 1997); End-to-End Routing Behavior in the Internet (SIGCOMM 1996),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Programming Languages,Data Mining / Web,3,1,OOPSLA,1993-2001,11.3,979.7,64.9,3/3,3/3,Multitasking without compromise: a virtual machine evolution (OOPSLA 2001); Ownership Types for Flexible Alias Protection (OOPSLA 1998); Subject Oriented Programming: A Critique of Pure Objects (OOPSLA 1993),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Software Engineering,Human-Computer Interaction,3,1,ICSE,1978-2006,11.0,415.0,52.8,3/3,3/3,Who Should Fix This Bug (ICSE 2006); A Working Environment for the Development of Complex Reactive Systems (ICSE 1988); Designing Software for Ease of Extension and Contraction (ICSE 1978),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Software Engineering,Natural Language Processing,3,1,ICSE,1985-2007,10.3,400.7,60.8,3/3,3/3,Feedback-Directed Random Test Generation (ICSE 2007); Software Technology Maturation (ICSE 1985); Expressing the Relationships between Multiple Views in Requirements Specification (ICSE 1993),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
AI,Fairness / Evaluation,2,1,AAAI,1986-1992,19.0,414.0,42.9,2/2,2/2,Hard and Easy Distribution of SAT Problems (AAAI 1992); Quantifying the Inductive Bias in Concept Learning (AAAI 1986),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
AI,Human-Computer Interaction,2,1,AAAI,1993-1998,18.5,372.5,54.8,2/2,2/2,The Interactive Museum Tour-Guide Robot (AAAI 1998); Learning Interface Agents (AAAI 1993),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
CS,Human-Computer Interaction,2,2,ACM MobiCom; WMCSA,1999-2002,17.5,9222.0,60.1,2/2,2/2,Ad-hoc On-Demand Distance Vector Routing (WMCSA 1999); Wake on Wireless: An Event Driven Energy Saving Strategy for Battery Operated Devices (ACM MobiCom 2002),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
DM/Web,Database / Systems,2,2,ICDM; KDD,2004-2008,9.5,1944.5,74.9,2/2,2/2,Factorization meets the neighborhood: a multifaceted collaborative filtering model (KDD 2008); Moment: Maintaining Closed Frequent Itemsets over a Stream Sliding Window (ICDM 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Citation,2,1,SIGIR,1996-1999,16.5,1255.5,57.5,2/2,2/2,An Algorithmic Framework for Performing Collaborative Filtering (SIGIR 1999); Pivoted Document Length Normalization (SIGIR 1996),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Computer Vision,2,1,SIGIR,1982-1985,30.5,72.0,48.1,2/2,2/2,The Cluster Hypothesis Revisited (SIGIR 1985); The Unified Probabilistic Model for IR (SIGIR 1982),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Human-Computer Interaction,2,1,SIGIR,1988-1989,25.5,2571.5,54.1,2/2,2/2,A Look Back and a Look Forward (SIGIR 1988); A Library System for Information Retrieval based on a Cognitive Task Analysis and Supported by an Icon-based Interface (SIGIR 1989),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Machine Learning Theory,2,1,SIGIR,1988-2000,20.0,257.5,61.1,2/2,2/2,Evaluating Evaluation Measure Stability (SIGIR 2000); Towards Interactive Query Expansion (SIGIR 1988),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
ML,Machine Learning Theory,2,2,ICML; NIPS,2007-2007,10.0,1560.0,65.7,2/2,2/2,Random Features for Large-Scale Kernel Machines (NIPS 2007); Combining Online and Offline Knowledge in UCT (ICML 2007),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
NLP,Natural Language Processing,2,1,EMNLP,2002-2002,16.0,2540.0,64.1,2/2,2/2,Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms (EMNLP 2002); Thumbs up? Sentiment Classification using Machine Learning Techniques (EMNLP 2002),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Security / Privacy,2,1,SIGCOMM,2002-2007,10.0,469.0,68.6,2/2,2/2,Ethane: Taking control of the Enterprise (SIGCOMM 2007); Tussle in cyberspace: defining tomorrow's internet (SIGCOMM 2002),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Security,Human-Computer Interaction,2,1,USENIX Security,1999-2004,13.0,2009.5,28.9,2/2,1/2,Tor: The Second-Generation Onion Router (USENIX Security 2004); Why Johnny Can’t Encrypt: A Usability Evaluation of PGP 5.0 (USENIX Security 1999),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Security,Security / Privacy,2,1,USENIX Security,1998-2001,15.5,1067.0,51.1,2/2,2/2,StackGuard: Automatic Adaptive Detection and Prevention of Buffer-Overflow Attacks (USENIX Security 1998); Inferring Internet Denial-of-Service Activity (USENIX Security 2001),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Software Engineering,Computer Vision,2,1,ICSE,1987-1994,10.0,225.0,53.6,2/2,2/2,"Formalizing Architectural Connection (ICSE 1994); Process Models, Process Programs, Programming Support (ICSE 1987)","Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Software Engineering,Machine Learning Theory,2,1,ICSE,1982-1999,11.0,137.0,61.1,2/2,2/2,N Degrees of Separation: Multi-Dimensional Separation of Concerns (ICSE 1999); Capturing More World Knowledge in the Requirements Specification (ICSE 1982),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
AI,Database / Systems,1,1,AAAI,1980-1980,19.0,103.0,63.0,1/1,1/1,R1: An Expert in the Computer Systems Domain (AAAI 1980),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
AI,Reinforcement Learning,1,1,AAAI,1987-1987,19.0,881.0,58.2,1/1,1/1,Reactive Reasoning and Planning (AAAI 1987),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Architecture,Machine Learning Theory,1,1,HPCA,1999-1999,19.0,297.0,49.4,1/1,1/1,Dynamically Exploiting Narrow Width Operands to Improve Processor Power and Performance (HPCA 1999),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
CS,Computer science,1,1,Sixth Data Comm.Symposium,1979-1979,27.0,22.0,41.1,1/1,1/1,An Overview of the New Routing Algorithm for the ARPANET (Sixth Data Comm.Symposium 1979),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
CS,Database / Systems,1,1,IEEE Personal Communications,2001-2001,17.0,2415.0,75.1,1/1,1/1,Pervasive Computing: Vision and Challenges (IEEE Personal Communications 2001),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
CS,Machine Learning Theory,1,1,IEEE Transactions on Information Theory,2000-2000,18.0,7857.0,66.4,1/1,1/1,Network Information Flow (IEEE Transactions on Information Theory 2000),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
CS,Natural Language Processing,1,1,ACL,2002-2002,16.0,542.0,71.8,1/1,1/1,BLEU: a Method for Automatic Evaluation of Machine Translation (ACL 2002),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
CS,Reinforcement Learning,1,1,ACM SenSys,2006-2006,12.0,225.0,77.0,1/1,1/1,CarTel: A Distributed Mobile Sensor Computing System (ACM SenSys 2006),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
CV,Machine Learning Theory,1,1,ICCV,1995-1995,18.0,608.0,58.8,1/1,1/1,Alignment by Maximization of Mutual Information (ICCV 1995),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
DM/Web,Machine Learning Theory,1,1,ICDM,2005-2005,9.0,377.0,66.5,1/1,1/1,Supervised Tensor Learning (ICDM 2005),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
DM/Web,Natural Language Processing,1,1,KDD,2006-2006,11.0,1958.0,63.8,1/1,1/1,Training Linear SVMs in Linear Time (KDD 2006),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Database,Computer science,1,1,VLDB,1988-1988,10.0,227.0,43.8,1/1,1/1,Disk Shadowing (VLDB 1988),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Database,Human-Computer Interaction,1,1,SIGMOD,1997-1997,10.0,926.0,50.9,1/1,1/1,Online Aggregation (SIGMOD 1997),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Cluster analysis,1,1,SIGIR,1992-1992,22.0,947.0,52.5,1/1,1/1,Scatter/Gather: A Cluster-based approach to Browsing Large Document Collections (SIGIR 1992),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Computer science,1,1,SIGIR,1986-1986,28.0,56.0,61.9,1/1,1/1,A New Theoretical Framework for Information Retrieval (SIGIR 1986),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
ML,Natural Language Processing,1,1,ICML,2008-2008,10.0,6709.0,66.1,1/1,1/1,A Unified Architecture for Natural Language Processing: Deep Neural Networks with Multitask Learning (ICML 2008),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Computer network,1,1,SIGCOMM,2006-2006,12.0,2274.0,65.5,1/1,1/1,XORs in the air: practical wireless network coding (SIGCOMM 2006),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Fairness / Evaluation,1,1,SIGCOMM,2002-2002,12.0,1095.0,54.5,1/1,1/1,Congestion Control for High Bandwidth-Delay Product Networks (SIGCOMM 2002),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Human-Computer Interaction,1,1,CCR,2003-2003,10.0,390.0,75.4,1/1,1/1,PlanetLab: an overlay testbed for broad-coverage services (CCR 2003),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Implementation,1,1,SIGCOMM,1988-1988,18.0,89.0,57.5,1/1,1/1,Measured Capacity of an Ethernet: Myths and Reality (SIGCOMM 1988),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Machine Learning Theory,1,1,SIGCOMM,1975-1975,31.0,20.0,39.4,1/1,1/1,"Selecting Sequence Numbers, (SIGCOMM 1975)","Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Multicast,1,1,SIGCOMM,1988-1988,18.0,191.0,58.5,1/1,1/1,Multicast Routing in Internetworks and Extended LANs (SIGCOMM 1988),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Network topology,1,1,SIGCOMM,2002-2002,12.0,1277.0,50.6,1/1,1/1,Measuring ISP Topologies with Rocketfuel (SIGCOMM 2002),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Path loss,1,1,SIGCOMM,2004-2004,12.0,1002.0,44.5,1/1,1/1,Link-level measurements from an 802.11b mesh network (SIGCOMM 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Router,1,1,SIGCOMM,2004-2004,11.0,682.0,56.2,1/1,1/1,Sizing router buffers (SIGCOMM 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Programming Languages,Computer Vision,1,1,OOPSLA,1987-1987,20.0,1011.0,71.5,1/1,1/1,Concepts and Experiments in Computational Reflection (OOPSLA 1987),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Programming Languages,Database / Systems,1,1,OOPSLA,2003-2003,10.0,398.0,40.9,1/1,1/1,Language Support for Lightweight Transactions (OOPSLA 2003),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Programming Languages,Fairness / Evaluation,1,1,OOPSLA,2006-2006,10.0,1593.0,55.0,1/1,1/1,The DaCapo benchmarks: Java benchmarking development and analysis (OOPSLA 2006),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Programming Languages,Metaprogramming,1,1,OOPSLA,2004-2004,10.0,169.0,63.1,1/1,1/1,Mirrors: Design Principles for Meta-level Facilities of Object-Oriented Programming Languages (OOPSLA 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Programming Languages,Natural Language Processing,1,1,OOPSLA,2005-2005,10.0,175.0,61.9,1/1,1/1,X10: An Object-Oriented Approach to Non-Uniform Cluster Computing (OOPSLA 2005),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
